Comp_date Comp_time Event Ardn_time[ms] ADC[0-1023] SiPM[mV] Deadtime[ms] Temp[C]
Current time: 2020-08-17_15-22-39-315009
2020-08-17 15-37-40-240934 95 904207 238 40.82 741 27.34
2020-08-17 15-37-58-638429 96 922619 254 43.77 751 27.13
2020-08-17 15-38-02-986014 97 926966 231 39.55 756 26.91
2020-08-17 15-38-03-427841 98 927409 99 21.91 761 27.45
2020-08-17 15-38-26-970627 99 950973 150 26.54 775 27.13
2020-08-17 15-38-32-128026 100 956133 216 36.85 781 27.13
2020-08-17 15-38-38-053493 101 962069 248 42.69 788 27.24
2020-08-17 15-38-52-241540 102 976268 236 40.44 800 27.13
2020-08-17 15-38-52-586618 103 976609 358 69.10 805 27.45
2020-08-17 15-39-01-233492 104 985269 499 141.24 811 26.91
2020-08-17 15-39-04-594047 105 988633 159 27.66 816 26.91
2020-08-17 15-39-12-148214 106 996191 199 33.86 822 26.70
2020-08-17 15-39-42-124838 107 1026192 161 27.93 835 27.45
2020-08-17 15-39-48-466212 108 1032539 275 47.73 841 27.13
2020-08-17 15-39-53-674505 109 1037752 159 27.66 848 27.34
2020-08-17 15-40-06-986162 110 1051075 300 52.79 856 27.24
2020-08-17 15-40-16-082815 111 1060177 476 129.76 862 26.70
2020-08-17 15-40-17-859312 112 1061956 192 32.67 868 27.13
2020-08-17 15-40-45-257487 113 1089383 295 51.75 878 26.91
2020-08-17 15-41-03-106577 114 1107241 230 39.39 888 26.91
2020-08-17 15-41-26-605731 115 1130764 255 43.96 898 27.13
2020-08-17 15-41-28-485645 116 1132645 184 31.36 903 27.13
2020-08-17 15-41-33-406006 117 1137573 193 32.84 908 27.13
2020-08-17 15-42-02-629819 118 1166819 376 76.43 915 27.13
2020-08-17 15-42-14-329059 119 1178526 199 33.86 921 27.13
2020-08-17 15-42-35-044019 120 1199258 396 85.28 933 27.13
2020-08-17 15-43-04-975626 121 1229221 112 22.94 946 27.13
2020-08-17 15-43-32-896939 122 1257167 271 46.93 958 27.34
2020-08-17 15-43-35-023130 123 1259296 71 19.06 967 26.91
2020-08-17 15-44-29-341906 124 1313655 188 32.01 987 27.45
2020-08-17 15-44-41-333189 125 1325662 240 41.21 995 27.13
2020-08-17 15-44-56-551183 126 1340889 192 32.67 1006 26.91
2020-08-17 15-44-58-354525 127 1342696 207 35.26 1012 26.91
2020-08-17 15-44-59-109763 128 1343454 167 28.76 1018 26.91
2020-08-17 15-45-01-562078 129 1345905 161 27.93 1023 27.13
2020-08-17 15-45-13-475127 130 1357828 199 33.86 1028 27.13
2020-08-17 15-45-17-919769 131 1362279 152 26.78 1035 26.91
2020-08-17 15-45-40-035653 132 1384410 241 41.39 1046 26.91
2020-08-17 15-45-46-213529 133 1390598 243 41.74 1057 26.91
2020-08-17 15-46-01-259638 134 1405651 359 69.86 1069 26.70
2020-08-17 15-46-02-402035 135 1406800 127 24.18 1075 27.13
2020-08-17 15-46-06-128279 136 1410525 131 24.54 1081 27.13
2020-08-17 15-46-14-757962 137 1419165 248 42.69 1091 26.91
2020-08-17 15-46-28-895315 138 1433316 551 164.56 1099 27.13
2020-08-17 15-46-52-857809 139 1457300 248 42.69 1113 27.13
2020-08-17 15-46-52-962776 140 1457404 145 25.96 1119 27.13
2020-08-17 15-47-09-057462 141 1473509 304 53.73 1128 26.91
2020-08-17 15-47-38-569068 142 1503051 243 41.74 1142 27.13
2020-08-17 15-47-42-311146 143 1506796 131 24.54 1150 27.13
2020-08-17 15-47-43-716694 144 1508198 195 33.17 1157 27.34
2020-08-17 15-47-53-513962 145 1518006 319 57.64 1167 27.13
